epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.671,0.66028,1.73232,1.02893,0.84917,0.82362,0.90491,0.75903,0.60947,1.46126,1.1218,0.000471709,0.000471709,0.000471709
2,250.002,0.6045,0.94338,0.97969,0.71683,0.79063,0.86022,0.73945,0.60739,1.24128,1.049,0.000901114,0.000901114,0.000901114
3,379.221,0.61646,0.88071,0.98693,0.88794,0.83642,0.91798,0.78888,0.63182,0.99697,1.11705,0.00128336,0.00128336,0.00128336
4,512.748,0.57647,0.7903,0.96567,0.88063,0.83017,0.91566,0.77464,0.59286,1.07335,1.16991,0.00121679,0.00121679,0.00121679
5,645.74,0.55963,0.73565,0.96079,0.90905,0.90057,0.9515,0.81716,0.61665,0.73793,1.13915,0.00114606,0.00114606,0.00114606
6,765.731,0.5439,0.65849,0.95216,0.93407,0.91594,0.96464,0.8546,0.59194,0.62137,1.04276,0.00107532,0.00107532,0.00107532
7,886.303,0.5418,0.64413,0.95232,0.93021,0.9072,0.95285,0.84496,0.52051,0.58631,1.05078,0.00100459,0.00100459,0.00100459
8,1019,0.50158,0.60017,0.93884,0.94233,0.92842,0.97145,0.87505,0.62981,0.53499,1.20582,0.000933851,0.000933851,0.000933851
9,1139.03,0.48375,0.54218,0.92903,0.91987,0.93723,0.97222,0.87965,0.50357,0.46513,1.06309,0.000863116,0.000863116,0.000863116
10,1258.81,0.49162,0.54792,0.93352,0.90826,0.92952,0.9607,0.87863,0.43435,0.50745,0.97019,0.00079238,0.00079238,0.00079238
11,1391.31,0.46771,0.5398,0.92444,0.94745,0.93035,0.96898,0.86997,0.50424,0.50259,1.01432,0.000721645,0.000721645,0.000721645
12,1505.84,0.45921,0.50635,0.92087,0.91741,0.94458,0.95913,0.87161,0.42099,0.52481,0.94748,0.000650909,0.000650909,0.000650909
13,1619.34,0.43694,0.47089,0.90878,0.95659,0.9547,0.97712,0.89615,0.48149,0.43256,1.07441,0.000580174,0.000580174,0.000580174
14,1733.34,0.42098,0.43372,0.89807,0.94043,0.957,0.97483,0.90363,0.3958,0.39591,0.93337,0.000509438,0.000509438,0.000509438
15,1854.7,0.40688,0.42137,0.8952,0.94178,0.94583,0.97494,0.90208,0.38767,0.36045,0.88659,0.000438703,0.000438703,0.000438703
16,1974.66,0.39894,0.40148,0.89351,0.93829,0.94567,0.97218,0.90876,0.41166,0.37438,1.03785,0.000367967,0.000367967,0.000367967
17,2090.21,0.39037,0.39058,0.88603,0.95646,0.94603,0.97756,0.91542,0.39499,0.34863,0.96437,0.000297232,0.000297232,0.000297232
18,2216.59,0.37918,0.3708,0.88039,0.94242,0.96094,0.97707,0.91182,0.36063,0.34168,0.90877,0.000226497,0.000226497,0.000226497
19,2333.66,0.36311,0.35389,0.874,0.97769,0.93065,0.9816,0.92662,0.30418,0.30325,0.84359,0.000155761,0.000155761,0.000155761
20,2455.54,0.35397,0.34277,0.87049,0.94674,0.96144,0.98171,0.92887,0.30148,0.30098,0.85788,8.50255e-05,8.50255e-05,8.50255e-05
